lon,lat
-87.06783294677734,22.3091983795166
-87.06968688964844,22.311012268066406
-87.0751953125,22.312196731567383
-87.07646942138672,22.312986373901367
-87.075439453125,22.312255859375
-87.07366180419922,22.311649322509766
-87.07368469238281,22.310401916503906
-87.07291412353516,22.308778762817383
-87.07240295410156,22.30862045288086
-87.0736083984375,22.30881690979004
-87.07861328125,22.306936264038086
-87.07941436767578,22.308500289916992
-87.07817077636719,22.3087158203125
-87.07748413085938,22.310434341430664
-87.07694244384766,22.308719635009766
-87.07557678222656,22.307382583618164
-87.07485961914062,22.308713912963867
-87.07536315917969,22.307769775390625
-87.07526397705078,22.307233810424805
-87.07594299316406,22.307231903076172
-87.07683563232422,22.30771255493164
-87.07740783691406,22.306978225708008
-87.0741958618164,22.307090759277344
-87.07347869873047,22.306243896484375
-87.07303619384766,22.30752944946289
-87.07215881347656,22.306379318237305
-87.07085418701172,22.307254791259766
-87.06871032714844,22.30925178527832
-87.06945037841797,22.309274673461914
-87.06822967529297,22.310375213623047
-87.06578826904297,22.312074661254883
-87.06520080566406,22.311723709106445
-87.06716918945312,22.311403274536133
-87.06708526611328,22.31006622314453
-87.06671142578125,22.309139251708984
-87.06517791748047,22.307838439941406
-87.06404113769531,22.30635643005371
-87.06340026855469,22.306108474731445
-87.06439208984375,22.30657958984375
-87.0625228881836,22.306190490722656
-87.06510925292969,22.307327270507812
-87.06851196289062,22.30825424194336
-87.07048797607422,22.31015396118164
-87.06816864013672,22.31053352355957
-87.06903076171875,22.309978485107422
-87.0665054321289,22.30784797668457
-87.06607818603516,22.307170867919922
-87.06644439697266,22.305889129638672
-87.06717681884766,22.30630111694336
-87.06676483154297,22.305147171020508
-87.06641387939453,22.304962158203125
-87.06727600097656,22.303834915161133
-87.06758880615234,22.304275512695312
-87.06757354736328,22.304096221923828
-87.06712341308594,22.303213119506836
-87.0660400390625,22.30200958251953
-87.06647491455078,22.303634643554688
-87.06470489501953,22.303625106811523
-87.06294250488281,22.302181243896484
-87.06195068359375,22.3037166595459
-87.06331634521484,22.303518295288086
-87.05952453613281,22.304025650024414
-87.05961608886719,22.30297088623047
-87.05856323242188,22.302711486816406
-87.05805969238281,22.303014755249023
-87.05847930908203,22.301830291748047
-87.05707550048828,22.302738189697266
-87.05560302734375,22.302684783935547
-87.05535888671875,22.301237106323242
-87.0546646118164,22.30217170715332
-87.05545806884766,22.301733016967773
-87.0555648803711,22.30205726623535
-87.05597686767578,22.302644729614258
-87.05536651611328,22.30274200439453
-87.05569458007812,22.300708770751953
-87.05582427978516,22.301584243774414
-87.05523681640625,22.302730560302734
-87.05671691894531,22.304048538208008
-87.05583190917969,22.30565071105957
-87.05472564697266,22.306324005126953
-87.05537414550781,22.306884765625
-87.0530014038086,22.305641174316406
-87.05426788330078,22.305957794189453
-87.05770111083984,22.306957244873047
-87.05742645263672,22.30718994140625
-87.05646514892578,22.308387756347656
-87.05660247802734,22.30762481689453
-87.0550308227539,22.30555534362793
-87.05567932128906,22.305038452148438
-87.05661010742188,22.305160522460938
