month,log_biomasa,post_2011,fuente,sst,sst_anom,uwnd_ms,vwnd_ms,onshore_cozumel_ms,sst_anom_lag1
2014-02,-4.194814450950042,1,mendeley,,,,,,
2014-03,-0.7999371118802563,1,mendeley,,,,,,
2014-04,-0.07005817100651843,1,mendeley,,,,,,
2014-05,0.8747709724335438,1,mendeley,,,,,,
2014-06,1.0965415892753958,1,mendeley,,,,,,
2014-07,1.0292621523361407,1,mendeley,,,,,,
2014-08,1.0481495016960602,1,mendeley,,,,,,
2014-09,1.0629230629730855,1,mendeley,,,,,,
2014-10,0.7226028848914275,1,mendeley,,,,,,
2014-11,-0.13451516169478664,1,mendeley,,,,,,
2014-12,0.14754111587986304,1,mendeley,,,,,,
2015-01,0.19965627492184596,1,mendeley,,,,,,
2015-02,0.62867760659381,1,mendeley,,,,,,
2015-03,1.0406497078649544,1,mendeley,,,,,,
2015-04,1.1031320813024237,1,mendeley,,,,,,
2015-05,1.603236246243873,1,mendeley,,,,,,
2015-06,1.8046068065618854,1,mendeley,,,,,,
2015-07,2.052956791153736,1,mendeley,,,,,,
2015-08,1.8220576737954606,1,mendeley,,,,,,
2015-09,1.403218957594886,1,mendeley,,,,,,
2015-10,0.6676371254984627,1,mendeley,,,,,,
2015-11,-0.09297736252172026,1,mendeley,,,,,,
2015-12,-0.3958709668403951,1,mendeley,,,,,,
2016-01,-0.4176573574042597,1,mendeley,,,,,,
2016-02,-2.2455062106780153,1,mendeley,,,,,,
2016-03,-1.7889625578542891,1,mendeley,,,,,,
2016-04,-1.299257082790533,1,mendeley,,,,,,
2016-05,-0.9353739248299615,1,mendeley,,,,,,
2016-06,0.03791693396768835,1,mendeley,,,,,,
2016-07,0.29027406430995134,1,mendeley,,,,,,
2016-08,0.024448654189174655,1,mendeley,,,,,,
2016-09,0.2389965490719235,1,mendeley,,,,,,
2016-10,-0.012679116896142779,1,mendeley,,,,,,
2016-11,-1.511023497441965,1,mendeley,,,,,,
2016-12,-1.327421109483901,1,mendeley,,,,,,
2017-01,-0.12239863832672304,1,mendeley,,,,,,
2017-02,-0.15880443941256503,1,mendeley,,,,,,
2017-03,-0.12730081356100448,1,mendeley,,,,,,
2017-04,0.5443541325074872,1,mendeley,,,,,,
2017-05,0.7848400380328107,1,mendeley,,,,,,
2017-06,1.536624081938065,1,mendeley,,,,,,
2017-07,1.4159475396967078,1,mendeley,,,,,,
2017-08,1.2456500118319398,1,mendeley,,,,,,
2017-09,1.2191326957899937,1,mendeley,,,,,,
2017-10,0.10921071519558473,1,mendeley,,,,,,
2017-11,0.15950080667757574,1,mendeley,,,,,,
2017-12,0.8444078694703164,1,mendeley,,,,,,
2018-01,1.6436468717846884,1,mendeley,,,,,,
2018-02,2.2389330114805968,1,mendeley,,,,,,
2018-03,2.119736424604561,1,mendeley,,,,,,
2018-04,2.1977583231785847,1,mendeley,,,,,,
2018-05,2.3906626486784512,1,mendeley,,,,,,
2018-06,2.645242449900913,1,mendeley,,,,,,
2018-07,2.374194517306186,1,mendeley,,,,,,
2018-08,1.779185937120419,1,mendeley,,,,,,
2018-09,1.3446136213997497,1,mendeley,,,,,,
2018-10,0.8186598740873733,1,mendeley,,,,,,
2018-11,0.8119213819145994,1,mendeley,,,,,,
2018-12,1.377094628435059,1,mendeley,,,,,,
2019-01,1.483915705483994,1,mendeley,,,,,,
2019-02,1.0626073401133758,1,mendeley,,,,,,
2019-03,0.890173881660346,1,mendeley,,,,,,
2019-04,1.2650530960197461,1,mendeley,,,,,,
2019-05,1.5565148603702015,1,mendeley,,,,,,
2019-06,1.8688465497178501,1,mendeley,,,,,,
2019-07,1.6971583671218873,1,mendeley,,,,,,
2019-08,1.3728295526230827,1,mendeley,,,,,,
2019-09,0.7638037983739417,1,mendeley,,,,,,
2019-10,-0.39988861566152056,1,mendeley,,,,,,
2019-11,-1.4020403108785822,1,mendeley,,,,,,
2019-12,-1.3983898462281237,1,mendeley,,,,,,
2020-01,-0.34805053680138204,1,mendeley,26.62,0.2042857142857173,-4.22,-1.37,-3.91,
2020-02,0.1502939179409806,1,mendeley,26.27,0.2585714285714289,-4.03,-0.95,-3.49,0.2042857142857173
2020-03,0.9606020575250896,1,mendeley,26.42,0.021428571428575793,-5.23,0.15,-3.55,0.2585714285714289
2020-04,1.2174915490972227,1,mendeley,27.54,0.5157142857142851,-3.67,1.74,-1.35,0.021428571428575793
2020-05,1.6913956971584863,1,mendeley,28.29,0.11999999999999744,-3.81,0.41,-2.38,0.5157142857142851
2020-06,2.1757786611435797,1,mendeley,28.63,-0.26500000000000057,-4.15,0.81,-2.34,0.11999999999999744
2020-07,1.6298763035756227,1,mendeley,29.45,0.0,-3.58,-0.06,-2.55,-0.26500000000000057
2020-08,0.9429336769105586,1,mendeley,29.8,-0.13500000000000156,-2.87,-0.19,-2.14,0.0
2020-09,1.0378948707696531,1,mendeley,30.08,0.06333333333333258,-2.11,0.06,-1.43,-0.13500000000000156
2020-10,0.2751483939272205,1,mendeley,29.11,-0.33999999999999986,-1.98,-1.36,-2.33,0.06333333333333258
2020-11,0.12192322085184906,1,mendeley,27.95,-0.3433333333333337,-3.09,-3.36,-4.51,-0.33999999999999986
2020-12,0.8293018287072671,1,mendeley,26.7,-0.5399999999999991,-3.14,-2.22,-3.75,-0.3433333333333337
2021-01,1.3497439473990254,1,mendeley,25.91,-0.5057142857142836,-3.57,-2.03,-3.92,-0.5399999999999991
2021-02,1.018344633634936,1,mendeley,25.78,-0.23142857142856954,-3.56,-0.37,-2.75,-0.5057142857142836
2021-03,1.5201520855032629,1,mendeley,25.99,-0.4085714285714275,-4.69,-0.24,-3.45,-0.23142857142856954
2021-04,1.7726605879881427,1,mendeley,26.77,-0.25428571428571445,-4.3,0.6,-2.59,-0.4085714285714275
2021-05,2.362913226706499,1,mendeley,28.02,-0.15000000000000213,-4.73,0.68,-2.84,-0.25428571428571445
2021-06,2.552658860470171,1,mendeley,28.66,-0.23499999999999943,-4.06,1.4,-1.86,-0.15000000000000213
2021-07,2.286708889199811,1,mendeley,29.05,-0.3999999999999986,-3.9,-0.3,-2.94,-0.23499999999999943
