month,Mend_NSS_Mt,Mend_SSS_Mt,Mend_GSR_Mt,Mend_ACR_Mt,Mend_GASB_Mt,Mend_NWGoM_Mt,num_conglomerados,corriente_xcalak_nudos,corriente_mahahual_nudos,corriente_tulum_nudos,corriente_playa_carmen_nudos,corriente_puerto_morelos_nudos,corriente_cancun_nudos,SEMAR_CM_Mt,SEMAR_CC_Mt,SEMAR_CO_Mt,SEMAR_ACO_Mt,semaforo_mensual,conglomerado_cozumel,viento_norte_nudos,viento_sur_nudos,corriente_xcalak_dir,corriente_mahahual_dir,corriente_tulum_dir,corriente_playa_carmen_dir,corriente_puerto_morelos_dir,corriente_cancun_dir,viento_norte_dir,viento_sur_dir,aligned_CM,aligned_ACO,aligned_CO,fuente
2010-08,6.251518051414e-06,0.00022064142232658,0.000954689300593678,0.00189540989258018,0.0626220137977262,0.00883638602422028,,,,,,,,,,,,,,,,,,,,,,,,0.00883638602422028,0.0626220137977262,0.00189540989258018,mendeley
2010-09,0.000424024088331997,4.65841860882676e-06,0.00176109408458744,0.00133528773799097,0.0208071814593056,0.000572318775350233,,,,,,,,,,,,,,,,,,,,,,,,0.000572318775350233,0.0208071814593056,0.00133528773799097,mendeley
2010-10,0.000459932275838053,3.23836278937506e-05,0.000827671368080456,0.000638209944332516,0.0788126481176411,0.0122337630079596,,,,,,,,,,,,,,,,,,,,,,,,0.0122337630079596,0.0788126481176411,0.000638209944332516,mendeley
2010-11,0.000643281903087697,0.000628026325411236,0.000779015346288457,0.000815484414782475,0.0623655294938133,0.00433998972408013,,,,,,,,,,,,,,,,,,,,,,,,0.00433998972408013,0.0623655294938133,0.000815484414782475,mendeley
2010-12,0.000359256051457294,0.000496311048812039,0.000996574376043157,0.00090234149121364,0.0479665048391537,0.00077212699557694,,,,,,,,,,,,,,,,,,,,,,,,0.00077212699557694,0.0479665048391537,0.00090234149121364,mendeley
2011-01,6.83277826687601e-05,0.00150510785959285,0.000322766028576396,0.000342637285225848,0.00398517773857174,0.00187377041647473,,,,,,,,,,,,,,,,,,,,,,,,0.00187377041647473,0.00398517773857174,0.000342637285225848,mendeley
2011-02,2.81625755117716e-05,0.00151058118672352,0.000525808915686234,0.00082058583418052,0.0592343922185093,0.00150592489896901,,,,,,,,,,,,,,,,,,,,,,,,0.00150592489896901,0.0592343922185093,0.00082058583418052,mendeley
2011-03,8.12111671907019e-05,0.000429403320342717,0.00208361135034996,0.000641168420952262,0.0381204292776096,0.0187436454515361,,,,,,,,,,,,,,,,,,,,,,,,0.0187436454515361,0.0381204292776096,0.000641168420952262,mendeley
2011-04,0.000314978324147198,3.04852987616968e-05,0.000896388013525275,0.000616825513650284,0.187432378193185,0.0271637372775203,,,,,,,,,,,,,,,,,,,,,,,,0.0271637372775203,0.187432378193185,0.000616825513650284,mendeley
2011-05,3.22282867004446e-05,5.64706264315369e-05,0.00820175933953948,0.000281618602374966,0.450989510710586,0.0222413667243109,,,,,,,,,,,,,,,,,,,,,,,,0.0222413667243109,0.450989510710586,0.000281618602374966,mendeley
2011-06,2.9307036076176e-05,2.03110622565816e-05,0.00330993906512671,0.000920469836866275,0.824730352745612,0.0162774925921762,,,,,,,,,,,,,,,,,,,,,,,,0.0162774925921762,0.824730352745612,0.000920469836866275,mendeley
2011-07,0.00461042876860955,1.28030261123513e-06,0.00578155207177323,0.0169772969438826,1.05073956963878,0.00130564939034798,,,,,,,,,,,,,,,,,,,,,,,,0.00130564939034798,1.05073956963878,0.0169772969438826,mendeley
2011-08,0.010530098008648,0.00627671951818645,0.00353203234456549,0.109963647742081,0.966468253827884,0.000325522507689378,,,,,,,,,,,,,,,,,,,,,,,,0.000325522507689378,0.966468253827884,0.109963647742081,mendeley
2011-09,0.0239001889154008,0.00916290223875022,0.00534157886827237,0.079590236039432,0.976992631064485,0.000422412384070356,,,,,,,,,,,,,,,,,,,,,,,,0.000422412384070356,0.976992631064485,0.079590236039432,mendeley
2011-10,0.0784166729021413,0.0046461715395826,0.0103488132603832,0.0111638846305206,0.310134153473294,0.00204752788694779,,,,,,,,,,,,,,,,,,,,,,,,0.00204752788694779,0.310134153473294,0.0111638846305206,mendeley
2011-11,0.44244636935545,0.00386064421203677,0.0239060438275475,0.00167863106568538,0.19680156703253,0.00088094134161899,,,,,,,,,,,,,,,,,,,,,,,,0.00088094134161899,0.19680156703253,0.00167863106568538,mendeley
2011-12,0.6441905775041,0.0878304196541253,0.0891902872642022,0.00597575757143297,0.0898893033670254,0.00176591425488245,,,,,,,,,,,,,,,,,,,,,,,,0.00176591425488245,0.0898893033670254,0.00597575757143297,mendeley
2012-01,0.172859702878651,0.251666832993907,0.0374491517314182,0.01499011076323,0.113148590952328,0.000374725318603836,,,,,,,,,,,,,,,,,,,,,,,,0.000374725318603836,0.113148590952328,0.01499011076323,mendeley
2012-02,0.0511033954083886,0.183944058056414,0.00596602482836269,0.00938279935471487,0.233988832763493,0.00250961508590871,,,,,,,,,,,,,,,,,,,,,,,,0.00250961508590871,0.233988832763493,0.00938279935471487,mendeley
2012-03,0.00139976195088586,0.0505745705590958,0.0137810911712873,0.00421298529280384,0.42867134864423,0.0495396044666339,,,,,,,,,,,,,,,,,,,,,,,,0.0495396044666339,0.42867134864423,0.00421298529280384,mendeley
2012-04,0.000523621340383381,0.00824862699616381,0.00765806997682538,0.00444778965259595,0.544976630347843,0.0592448214555969,,,,,,,,,,,,,,,,,,,,,,,,0.0592448214555969,0.544976630347843,0.00444778965259595,mendeley
2012-05,0.000483256939194352,0.00265548864869332,0.00777239020438734,0.00800880650177241,0.98370290871212,0.079093770061662,,,,,,,,,,,,,,,,,,,,,,,,0.079093770061662,0.98370290871212,0.00800880650177241,mendeley
2012-06,0.00105162910517244,0.00215894873855532,0.0407379422777079,0.00276013309171108,1.54509788598025,0.0536121957566379,,,,,,,,,,,,,,,,,,,,,,,,0.0536121957566379,1.54509788598025,0.00276013309171108,mendeley
2012-07,0.00502443393060146,0.0015003200597763,0.0322390819451276,0.0101010995404293,1.49415393809321,0.0493000915922058,,,,,,,,,,,,,,,,,,,,,,,,0.0493000915922058,1.49415393809321,0.0101010995404293,mendeley
2012-08,0.00981948423318068,0.000405836629273757,0.0147614354465632,0.00249995015421467,0.586752924158303,0.0200749849978634,,,,,,,,,,,,,,,,,,,,,,,,0.0200749849978634,0.586752924158303,0.00249995015421467,mendeley
2012-09,0.0346527714583316,0.00194538147636869,0.0138293157963582,0.00363229901444041,0.318057936068686,0.000496079099432293,,,,,,,,,,,,,,,,,,,,,,,,0.000496079099432293,0.318057936068686,0.00363229901444041,mendeley
2012-10,0.0864103925387759,0.000285144110623293,0.0167906492739823,0.00103381225935391,0.186393518977219,0.000479616803816775,,,,,,,,,,,,,,,,,,,,,,,,0.000479616803816775,0.186393518977219,0.00103381225935391,mendeley
2012-11,0.28038750776397,0.00199505750901546,0.00676935804116565,0.00091465254534296,0.0659229487140241,0.00192724600745869,,,,,,,,,,,,,,,,,,,,,,,,0.00192724600745869,0.0659229487140241,0.00091465254534296,mendeley
2012-12,0.402162253943406,0.037991586012239,0.000585910967868678,0.000414938395621363,0.0417786104194011,0.000830867152762863,,,,,,,,,,,,,,,,,,,,,,,,0.000830867152762863,0.0417786104194011,0.000414938395621363,mendeley
2013-01,0.000619072894028331,0.0788445918597547,0.000151709276592513,0.00115243358595361,0.0090319312506486,0.000101520541851256,,,,,,,,,,,,,,,,,,,,,,,,0.000101520541851256,0.0090319312506486,0.00115243358595361,mendeley
2013-02,0.000314158081689115,0.0736082260844262,0.000570981318840566,0.00502042433442785,0.0118110381364427,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0118110381364427,0.00502042433442785,mendeley
2013-03,0.000131274600561712,0.0212546946004666,0.00250315795863401,0.00894664863482066,0.0564828406954007,0.00035621543456881,,,,,,,,,,,,,,,,,,,,,,,,0.00035621543456881,0.0564828406954007,0.00894664863482066,mendeley
2013-04,0.000760645217839606,0.0090386728957439,0.00318827778654362,0.00344048481587861,0.0432182799980715,0.074421961223215,,,,,,,,,,,,,,,,,,,,,,,,0.074421961223215,0.0432182799980715,0.00344048481587861,mendeley
2013-05,0.000416851347125707,0.00448248560856575,0.00194424048237363,0.00162833219096122,0.0550531456171432,0.0267529952237663,,,,,,,,,,,,,,,,,,,,,,,,0.0267529952237663,0.0550531456171432,0.00162833219096122,mendeley
2013-06,0.00016095186139246,0.000354519806678226,0.00640295589022148,0.000188843284642502,0.0163644452915059,0.0564774452010648,,,,,,,,,,,,,,,,,,,,,,,,0.0564774452010648,0.0163644452915059,0.000188843284642502,mendeley
