month,biomasa_mt,log_biomasa,fuente,mes,anio,month_sin,month_cos,log_seasonal_mean,log_seasonal_std,z_score,log_biomasa_lag1,log_biomasa_lag2,log_biomasa_lag3,delta_log,post_2011
2012-03,0.42867134864423,-0.8470647383923774,mendeley,3,2012,1.0,6.123233995736766e-17,-1.8917288103506313,2.6235890644746105,0.39818128765049354,-1.4524818837224531,-2.1790533510601957,-2.4091763171404743,0.6054171453300757,1
2012-04,0.544976630347843,-0.6070123634990304,mendeley,4,2012,0.8660254037844387,-0.4999999999999998,-1.7304673817582232,2.799039638942793,0.40137159996902566,-0.8470647383923774,-1.4524818837224531,-2.1790533510601957,0.24005237489334696,1
2012-05,0.98370290871212,-0.016431348541480515,mendeley,5,2012,0.49999999999999994,-0.8660254037844387,-1.2776179839026194,2.7397461704542265,0.4603297374632501,-0.6070123634990304,-0.8470647383923774,-1.4524818837224531,0.5905810149575499,1
2012-06,1.54509788598025,0.4350872656114921,mendeley,6,2012,1.2246467991473532e-16,-1.0,-1.3893075586296593,3.2073486432381504,0.5688171219201278,-0.016431348541480515,-0.6070123634990304,-0.8470647383923774,0.4515186141529726,1
2012-07,1.49415393809321,0.4015601196175534,mendeley,7,2012,-0.4999999999999997,-0.8660254037844388,-1.1969100651285831,2.820597258762793,0.5667133724178963,0.4350872656114921,-0.016431348541480515,-0.6070123634990304,-0.03352714599393869,1
2012-08,0.586752924158303,-0.5331514589062891,mendeley,8,2012,-0.8660254037844384,-0.5000000000000004,-1.077502327774256,2.3729287983395606,0.22940042248586318,0.4015601196175534,0.4350872656114921,-0.016431348541480515,-0.9347115785238425,1
2012-09,0.318057936068686,-1.1455217207570212,mendeley,9,2012,-1.0,-1.8369701987210297e-16,-1.1964691620374177,2.199919635554165,0.02315877382837339,-0.5331514589062891,0.4015601196175534,0.4350872656114921,-0.6123702618507321,1
2012-10,0.186393518977219,-1.679895141405644,mendeley,10,2012,-0.8660254037844386,0.5000000000000001,-1.5136344869673162,1.7720931200156225,-0.09382162402214062,-1.1455217207570212,-0.5331514589062891,0.4015601196175534,-0.5343734206486228,1
2012-11,0.0659229487140241,-2.719268647506667,mendeley,11,2012,-0.5000000000000004,0.8660254037844384,-1.9127366597082123,1.6510235720841067,-0.4885042233408938,-1.679895141405644,-1.1455217207570212,-0.5331514589062891,-1.039373506101023,1
2012-12,0.0417786104194011,-3.175370758939752,mendeley,12,2012,-2.4492935982947064e-16,1.0,-2.1774120159275543,2.382233374955818,-0.4189172872413082,-2.719268647506667,-1.679895141405644,-1.1455217207570212,-0.456102111433085,1
2013-01,0.0090319312506486,-4.706988953198272,mendeley,1,2013,0.49999999999999994,0.8660254037844387,-2.3972465235340255,3.0489117629675784,-0.7575628975946879,-3.175370758939752,-2.719268647506667,-1.679895141405644,-1.5316181942585203,1
2013-02,0.0118110381364427,-4.438720664799141,mendeley,2,2013,0.8660254037844386,0.5000000000000001,-2.1965283036696674,2.827906015254989,-0.792880792018577,-4.706988953198272,-3.175370758939752,-2.719268647506667,0.2682682883991312,1
2013-03,0.0564828406954007,-2.8738183737589855,mendeley,3,2013,1.0,6.123233995736766e-17,-1.8917288103506313,2.6235890644746105,-0.3743305598832504,-4.438720664799141,-4.706988953198272,-3.175370758939752,1.5649022910401555,1
2013-04,0.0432182799980715,-3.14149170199212,mendeley,4,2013,0.8660254037844387,-0.4999999999999998,-1.7304673817582232,2.799039638942793,-0.5041101600000368,-2.8738183737589855,-4.438720664799141,-4.706988953198272,-0.2676733282331343,1
2013-05,0.0550531456171432,-2.8994562581891525,mendeley,5,2013,0.49999999999999994,-0.8660254037844387,-1.2776179839026194,2.7397461704542265,-0.5919666178482681,-3.14149170199212,-2.8738183737589855,-4.438720664799141,0.24203544380296727,1
2013-06,0.0163644452915059,-4.112644206523137,mendeley,6,2013,1.2246467991473532e-16,-1.0,-1.3893075586296593,3.2073486432381504,-0.8490928024413296,-2.8994562581891525,-3.14149170199212,-2.8738183737589855,-1.2131879483339842,1
2013-07,0.0244909691507501,-3.7094507946438364,mendeley,7,2013,-0.4999999999999997,-0.8660254037844388,-1.1969100651285831,2.820597258762793,-0.8907832274563495,-4.112644206523137,-2.8994562581891525,-3.14149170199212,0.40319341187930036,1
2013-08,0.0378534755041903,-3.2740324538003316,mendeley,8,2013,-0.8660254037844384,-0.5000000000000004,-1.077502327774256,2.3729287983395606,-0.9256620458073085,-3.7094507946438364,-4.112644206523137,-2.8994562581891525,0.43541834084350484,1
2013-09,0.0336802699207647,-3.390843045674666,mendeley,9,2013,-1.0,-1.8369701987210297e-16,-1.1964691620374177,2.199919635554165,-0.9974791115878561,-3.2740324538003316,-3.7094507946438364,-4.112644206523137,-0.11681059187433451,1
2013-10,0.0213125455089688,-3.848459341701777,mendeley,10,2013,-0.8660254037844386,0.5000000000000001,-1.5136344869673162,1.7720931200156225,-1.317552011439375,-3.390843045674666,-3.2740324538003316,-3.7094507946438364,-0.45761629602711107,1
2013-11,0.0307540794437167,-3.481732596176485,mendeley,11,2013,-0.5000000000000004,0.8660254037844384,-1.9127366597082123,1.6510235720841067,-0.9503171020676044,-3.848459341701777,-3.390843045674666,-3.2740324538003316,0.36672674552529205,1
